blockNum,blockName,pracNum,tryNum,maxScore,trialNum,stimulus,corrAns,slideFile1,slideFile2,slideFile3
1,Demo 1,1,0,8,1,day,day_box,new-slide-1,new-slide-2,DEMO
1,Demo 1,1,0,8,2,night,night_box,NA,NA,NA
1,Demo 1,1,0,8,3,day,day_box,NA,NA,NA
1,Demo 1,1,0,8,4,night,night_box,NA,NA,NA
1,Demo 1,1,0,8,5,night,night_box,NA,NA,NA
1,Demo 1,1,0,8,6,day,day_box,NA,NA,NA
1,Demo 1,1,0,8,7,day,day_box,NA,NA,NA
1,Demo 1,1,0,8,8,night,night_box,NA,NA,NA
2,Practice 1,1,1,8,1,day,day_box,NA,NA,slide-03
2,Practice 1,1,1,8,2,night,night_box,NA,NA,NA
2,Practice 1,1,1,8,3,day,day_box,NA,NA,NA
2,Practice 1,1,1,8,4,night,night_box,NA,NA,NA
2,Practice 1,1,1,8,5,night,night_box,NA,NA,NA
2,Practice 1,1,1,8,6,day,day_box,NA,NA,NA
2,Practice 1,1,1,8,7,day,day_box,NA,NA,NA
2,Practice 1,1,1,8,8,night,night_box,NA,NA,NA
3,Practice 1,1,2,8,1,day,day_box,NA,NA,slide-03
3,Practice 1,1,2,8,2,night,night_box,NA,NA,NA
3,Practice 1,1,2,8,3,day,day_box,NA,NA,NA
3,Practice 1,1,2,8,4,night,night_box,NA,NA,NA
3,Practice 1,1,2,8,5,night,night_box,NA,NA,NA
3,Practice 1,1,2,8,6,day,day_box,NA,NA,NA
3,Practice 1,1,2,8,7,day,day_box,NA,NA,NA
3,Practice 1,1,2,8,8,night,night_box,NA,NA,NA
4,Practice 1,1,3,8,1,day,day_box,NA,NA,slide-03
4,Practice 1,1,3,8,2,night,night_box,NA,NA,NA
4,Practice 1,1,3,8,3,day,day_box,NA,NA,NA
4,Practice 1,1,3,8,4,night,night_box,NA,NA,NA
4,Practice 1,1,3,8,5,night,night_box,NA,NA,NA
4,Practice 1,1,3,8,6,day,day_box,NA,NA,NA
4,Practice 1,1,3,8,7,day,day_box,NA,NA,NA
4,Practice 1,1,3,8,8,night,night_box,NA,NA,NA
5,Rule 1,NA,NA,16,1,day,day_box,NA,NA,slide-04
